DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
191718715,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,1130,17,Devonshire,1701,997,TRAFFIC COLLISION,,21,F,W,101,STREET,RINALDI                      ST,PORTER RANCH                 DR,"{'longitude': '-118.5702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.2755'}",18905,66,909,14,2,48
190622982,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,1450,06,Hollywood,0676,997,TRAFFIC COLLISION,,29,F,W,101,STREET,CAHUENGA,WARING,"{'longitude': '-118.3288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.0853'}",23669,443,535,,8,34
191018295,2019-11-29T00:00:00.000,2019-11-28T00:00:00.000,2105,10,West Valley,1012,997,TRAFFIC COLLISION,,54,M,H,101,STREET,SATICOY                      ST,RESEDA                       BL,"{'longitude': '-118.5372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.2084'}",18909,249,551,,4,12
190222462,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,1215,02,Rampart,0219,997,TRAFFIC COLLISION,,57,F,W,101,STREET,BEAUDRY,TEMPLE                       ST,"{'longitude': '-118.2505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.064'}",22728,548,397,54,11,31
191018280,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,0400,10,West Valley,1035,997,TRAFFIC COLLISION,,,M,W,101,STREET,VICTORY                      BL,ENFIELD                      AV,"{'longitude': '-118.5238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.1868'}",18909,267,247,,4,12
191718716,2019-11-29T00:00:00.000,2019-11-28T00:00:00.000,2245,17,Devonshire,1785,997,TRAFFIC COLLISION,,45,M,B,101,STREET,RESEDA                       BL,RAYEN                        ST,"{'longitude': '-118.5361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.2319'}",18513,108,1539,,2,65
190222471,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,2205,02,Rampart,0247,997,TRAFFIC COLLISION,,,X,X,101,STREET,UNION                        DR,W  6TH                          ST,"{'longitude': '-118.2691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.0573'}",23078,564,836,,11,67
192020621,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,1147,20,Olympic,2026,997,TRAFFIC COLLISION,,34,M,A,108,PARKING LOT,BERENDO                      ST,5TH                          ST,"{'longitude': '-118.2941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.0654'}",23081,597,1316,,12,89
190622949,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,0130,06,Hollywood,0656,997,TRAFFIC COLLISION,1501,35,M,W,101,STREET,SANTA MONICA                 BL,SEWARD,"{'longitude': '-118.3332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.0907'}",23669,444,869,,7,34
191323033,2019-11-28T00:00:00.000,2019-11-28T00:00:00.000,1305,13,Newton,1325,997,TRAFFIC COLLISION,0605,18,X,X,101,STREET,MAIN                         ST,54TH                         ST,"{'longitude': '-118.2534', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '34.0164'}",22727,708,971,7,13,6
